cram_url	run_id	id	population
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239480/NA12718.final.cram	ERR3239480	NA12718	CEU
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239481/NA12748.final.cram	ERR3239481	NA12748	CEU
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239482/NA12775.final.cram	ERR3239482	NA12775	CEU
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239483/NA12777.final.cram	ERR3239483	NA12777	CEU
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239484/NA12778.final.cram	ERR3239484	NA12778	CEU
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239485/NA12827.final.cram	ERR3239485	NA12827	CEU
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239486/NA12829.final.cram	ERR3239486	NA12829	CEU
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239487/NA12842.final.cram	ERR3239487	NA12842	CEU
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239488/NA12843.final.cram	ERR3239488	NA12843	CEU
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239489/NA12889.final.cram	ERR3239489	NA12889	CEU
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239490/NA12890.final.cram	ERR3239490	NA12890	CEU
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239491/NA18488.final.cram	ERR3239491	NA18488	YRI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239492/NA18530.final.cram	ERR3239492	NA18530	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239493/NA18534.final.cram	ERR3239493	NA18534	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239494/NA18536.final.cram	ERR3239494	NA18536	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239495/NA18543.final.cram	ERR3239495	NA18543	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239496/NA18544.final.cram	ERR3239496	NA18544	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239497/NA18546.final.cram	ERR3239497	NA18546	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239498/NA18548.final.cram	ERR3239498	NA18548	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239499/NA18549.final.cram	ERR3239499	NA18549	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239500/NA18557.final.cram	ERR3239500	NA18557	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239501/NA18559.final.cram	ERR3239501	NA18559	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239832/NA20752.final.cram	ERR3239832	NA20752	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239833/NA20753.final.cram	ERR3239833	NA20753	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239834/NA20754.final.cram	ERR3239834	NA20754	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239835/NA20755.final.cram	ERR3239835	NA20755	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239836/NA20756.final.cram	ERR3239836	NA20756	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239837/NA20757.final.cram	ERR3239837	NA20757	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239838/NA20758.final.cram	ERR3239838	NA20758	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239839/NA20759.final.cram	ERR3239839	NA20759	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239840/NA20760.final.cram	ERR3239840	NA20760	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239841/NA20761.final.cram	ERR3239841	NA20761	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239842/NA20762.final.cram	ERR3239842	NA20762	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239843/NA20763.final.cram	ERR3239843	NA20763	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239844/NA20764.final.cram	ERR3239844	NA20764	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239845/NA20765.final.cram	ERR3239845	NA20765	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239846/NA20766.final.cram	ERR3239846	NA20766	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239847/NA20767.final.cram	ERR3239847	NA20767	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239848/NA20768.final.cram	ERR3239848	NA20768	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239849/NA20769.final.cram	ERR3239849	NA20769	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239850/NA20770.final.cram	ERR3239850	NA20770	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239851/NA20771.final.cram	ERR3239851	NA20771	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239852/NA20772.final.cram	ERR3239852	NA20772	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239853/NA20773.final.cram	ERR3239853	NA20773	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240184/HG00443.final.cram	ERR3240184	HG00443	CHS
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240185/HG00445.final.cram	ERR3240185	HG00445	CHS
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240186/HG00446.final.cram	ERR3240186	HG00446	CHS
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240187/HG00448.final.cram	ERR3240187	HG00448	CHS
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240188/HG00449.final.cram	ERR3240188	HG00449	CHS
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240189/HG00451.final.cram	ERR3240189	HG00451	CHS
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240190/HG00452.final.cram	ERR3240190	HG00452	CHS
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240191/HG00463.final.cram	ERR3240191	HG00463	CHS
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240192/HG00464.final.cram	ERR3240192	HG00464	CHS
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240193/HG00118.final.cram	ERR3240193	HG00118	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240194/HG00119.final.cram	ERR3240194	HG00119	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240195/HG00121.final.cram	ERR3240195	HG00121	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240196/HG00122.final.cram	ERR3240196	HG00122	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240197/HG00123.final.cram	ERR3240197	HG00123	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240198/HG00125.final.cram	ERR3240198	HG00125	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240199/HG00126.final.cram	ERR3240199	HG00126	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240200/HG00159.final.cram	ERR3240200	HG00159	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240201/HG00231.final.cram	ERR3240201	HG00231	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240202/HG00232.final.cram	ERR3240202	HG00232	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240203/HG00236.final.cram	ERR3240203	HG00236	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240204/HG00237.final.cram	ERR3240204	HG00237	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240205/HG00239.final.cram	ERR3240205	HG00239	GBR
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239502/NA18595.final.cram	ERR3239502	NA18595	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239503/NA18596.final.cram	ERR3239503	NA18596	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239504/NA18597.final.cram	ERR3239504	NA18597	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239505/NA18599.final.cram	ERR3239505	NA18599	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239506/NA18602.final.cram	ERR3239506	NA18602	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239507/NA18606.final.cram	ERR3239507	NA18606	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239508/NA18610.final.cram	ERR3239508	NA18610	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239509/NA18611.final.cram	ERR3239509	NA18611	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239510/NA18612.final.cram	ERR3239510	NA18612	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239511/NA18613.final.cram	ERR3239511	NA18613	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239512/NA18615.final.cram	ERR3239512	NA18615	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239513/NA18616.final.cram	ERR3239513	NA18616	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239514/NA18617.final.cram	ERR3239514	NA18617	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239515/NA18618.final.cram	ERR3239515	NA18618	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239516/NA18619.final.cram	ERR3239516	NA18619	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239517/NA18620.final.cram	ERR3239517	NA18620	CHB
